parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
23401:001:0260,10.2106,attribute:mets,reported_m2,570.380491,5486.160373,5.0,comparable,
23401:001:0262,13.2681,attribute:mets,reported_m2,570.380491,4198.885982,5.0,comparable,
23401:001:0338,0.011,attribute:mets,reported_m2,570.380491,5185177.190909,5.0,comparable,
23401:006:0006,9.1916,attribute:mets,reported_m2,570.380491,6105.453795,5.0,comparable,
23401:006:0007,5.8297,attribute:mets,reported_m2,570.380491,9684.045337,5.0,comparable,
23401:006:0008,2.9538,attribute:mets,reported_m2,570.380491,19210.057925,5.0,comparable,
23401:006:0012,8.5008,attribute:mets,reported_m2,570.380491,6609.727214,5.0,comparable,
23401:006:0019,2.7005,attribute:mets,reported_m2,570.380491,21021.29202,5.0,comparable,
23401:006:0025,2.3324,attribute:mets,reported_m2,570.380491,24354.66005,5.0,comparable,
23401:006:0033,11.2053,attribute:mets,reported_m2,570.380491,4990.274165,5.0,comparable,
23401:006:0034,3.6661,attribute:mets,reported_m2,570.380491,15458.236027,5.0,comparable,
23401:006:0042,9.8199,attribute:mets,reported_m2,570.380491,5708.414454,5.0,comparable,
23401:006:0058,1.776,attribute:mets,reported_m2,570.380491,32016.018637,5.0,comparable,
23401:006:0059,0.003,attribute:mets,reported_m2,570.380491,19012583.033333,5.0,comparable,
23401:006:0061,14.6465,attribute:mets,reported_m2,570.380491,3794.312573,5.0,comparable,
23401:006:0066,0.29,attribute:mets,reported_m2,570.380491,196582.927931,5.0,comparable,
23401:006:0070,85.7793,attribute:mets,reported_m2,570.380491,564.93955,5.0,comparable,
23401:006:0082,2.951,attribute:mets,reported_m2,570.380491,19228.379905,5.0,comparable,
23401:006:0083,1.1144,attribute:mets,reported_m2,570.380491,51082.74327,5.0,comparable,
23401:006:0085,0.9351,attribute:mets,reported_m2,570.380491,60896.737354,5.0,comparable,
23401:006:0095,404.0,attribute:haritav,reported_ha,570.380491,41.18329,5.0,comparable,
23401:006:0100,4.2906,attribute:mets,reported_m2,570.380491,13193.723279,5.0,comparable,
23401:006:0102,5.8544,attribute:mets,reported_m2,570.380491,9642.765971,5.0,comparable,
23401:006:0138,0.1539,attribute:mets,reported_m2,570.380491,370517.602989,5.0,comparable,
23401:006:0160,18.0896,attribute:mets,reported_m2,570.380491,3053.085148,5.0,comparable,
23401:006:0290,13.2027,attribute:mets,reported_m2,570.380491,4220.180652,5.0,comparable,
23401:006:0340,15.0091,attribute:mets,reported_m2,570.380491,3700.231133,5.0,comparable,
23401:006:0350,4.8203,attribute:mets,reported_m2,570.380491,11732.883659,5.0,comparable,
23401:006:0360,7.7935,attribute:mets,reported_m2,570.380491,7218.669289,5.0,comparable,
23401:006:0371,3.7674,attribute:mets,reported_m2,570.380491,15039.897303,5.0,comparable,
23401:006:0372,3.5136,attribute:mets,reported_m2,570.380491,16133.506688,5.0,comparable,
23401:006:0381,4.0997,attribute:mets,reported_m2,570.380491,13812.737298,5.0,comparable,
23401:006:0382,3.5008,attribute:mets,reported_m2,570.380491,16192.861375,5.0,comparable,
23401:006:0393,2.4358,attribute:mets,reported_m2,570.380491,23316.556819,5.0,comparable,
23401:006:0640,0.054,attribute:mets,reported_m2,570.380491,1056160.168519,5.0,comparable,
23401:006:0780,0.4789,attribute:mets,reported_m2,570.380491,119002.211526,5.0,comparable,
23401:006:0791,6.1363,attribute:mets,reported_m2,570.380491,9195.185877,5.0,comparable,
23401:006:0793,1.0108,attribute:mets,reported_m2,570.380491,56328.620004,5.0,comparable,
23401:006:0820,4.567,attribute:mets,reported_m2,570.380491,12389.172126,5.0,comparable,
23401:006:1041,6.4283,attribute:mets,reported_m2,570.380491,8772.960052,5.0,comparable,
27101:001:0035,2754.1148,attribute:mets,reported_m2,570.380491,-79.28988,5.0,comparable,
27101:002:0002,12795.0,attribute:haritav,reported_ha,570.380491,-95.542161,5.0,comparable,
27101:002:0003,0.0047,attribute:mets,reported_m2,570.380491,12135655.12766,5.0,comparable,
27101:002:0004,0.5016,attribute:mets,reported_m2,570.380491,113612.219099,5.0,comparable,
