parcel_id,forest_area_ha,pindala_m2,geodesic_area_ha,maaamet_land_area_ha,maaamet_forest_area_ha,hansen_land_area_ha,hansen_forest_area_ha,hansen_forest_loss_ha,haritav,mets,pindala,rohumaa,siht1
27101:003:0058,22.4789,1370269.0,137.045444,137.0269,22.4789,137.046682,97.728212,0.968771,,224789,1370269,,MAATULUNDUSMAA
75902:001:5901,33.6362,632011.0,63.209611,63.2011,33.6362,63.134577,45.5815,0.84931,,336362,632011,,MAATULUNDUSMAA
75902:001:0109,32.1173,423496.0,42.355329,42.3496,32.1173,42.471727,37.617937,1.496531,,321173,423496,,MAATULUNDUSMAA
35701:002:1000,53.3073,541376.0,54.1449,54.1376,53.3073,54.234712,34.917427,0.0,772,533073,541376,1825,MAATULUNDUSMAA
75902:001:0043,32.1777,389261.0,38.931366,38.9261,32.1777,39.031285,34.177601,0.0,,321777,389261,,MAATULUNDUSMAA
35701:001:0020,39.4194,420425.0,42.048083,42.0425,39.4194,42.500208,31.774147,0.0,,394194,420425,,MAATULUNDUSMAA
35701:003:0052,35.1711,434131.0,43.418935,43.4131,35.1711,43.264853,26.257453,0.0,37397,351711,434131,18843,MAATULUNDUSMAA
35701:003:0220,28.708,468044.0,46.810738,46.8044,28.708,47.02571,25.775186,0.0,153649,287080,468044,253,MAATULUNDUSMAA
27101:003:0178,28.4454,290563.0,29.060199,29.0563,28.4454,29.152779,25.115078,0.0,94,284454,290563,4608,MAATULUNDUSMAA
35701:002:1440,47.7426,499785.0,49.985243,49.9785,47.7426,50.103747,23.112119,11.273593,7491,477426,499785,12963,MAATULUNDUSMAA
